order_id,customer_id,order_date,status,shipping_address,shipping_city,shipping_state,shipping_zip,total_amount
58,12,2025-05-16,delivered,259 Jeffery Pines Suite 879,South Paulatown,AS,35005,353.89
59,12,2025-06-01,processing,320 Deleon Tunnel Apt. 405,Lake Aliciaberg,NJ,26717,2106.15
60,12,2025-06-25,pending,159 Patterson Glens Apt. 535,Colefort,NY,78538,1294.96
61,12,2025-10-21,pending,5542 Jefferson Radial Apt. 384,Port Henry,IL,53249,2123.74
62,12,2025-08-31,delivered,3202 Sherry Drive,Garcialand,MP,61421,2870.35
63,12,2025-10-01,shipped,769 Tanya Coves Suite 204,New Nicole,MN,15445,5441.92
64,13,2025-03-05,delivered,698 Antonio Extensions Apt. 690,New Melissa,HI,25035,4548.26
65,13,2024-11-24,delivered,698 Cody Grove,Lake Raymond,NM,10650,585.94
66,13,2024-12-06,pending,017 Stephenson Trace Apt. 316,South Paige,AZ,45384,4409.12
67,13,2025-08-06,pending,49332 Conley Falls,Sabrinafurt,OK,29844,2966.94
68,13,2025-10-10,pending,2947 Werner Point,New Jeffreyshire,AZ,97682,1578.04
69,13,2025-04-16,delivered,0259 Rodriguez Rapids Apt. 932,Haynesfort,HI,71400,6250.81
70,14,2025-10-13,pending,91635 Kenneth Trail,Brownchester,VT,55522,243.05
71,14,2025-05-07,processing,527 Angela Hollow Suite 397,Cindyshire,MN,03567,1275.58
72,14,2025-05-07,processing,864 Robert Park,Karentown,GA,06346,1323.51
73,14,2025-06-12,processing,192 Gabriel Trail,West Kimberlyport,FM,31721,874.35
74,14,2025-07-11,cancelled,4890 Glenn Estate,Susanbury,IL,23217,1101.57
75,15,2024-11-15,processing,51025 Cooper Circle,New Nicolebury,MA,37683,2785.21
76,15,2025-03-20,delivered,69888 Neal Fords,Port Kimberly,ID,21761,3031.61
77,15,2025-03-07,processing,2962 Lisa Burg,Anneside,SD,30711,2112.73
78,15,2024-12-30,shipped,4129 Sean Isle,Edwardsberg,AR,15954,2494.58
79,15,2025-01-07,delivered,6317 Parker Landing,Ernesttown,MS,24389,3173.3
80,15,2025-07-02,processing,193 Peterson Underpass Apt. 922,Griffinbury,CT,63627,2418.54
81,15,2025-04-06,pending,626 Wells Drive,Kingville,MH,19095,2160.46
82,16,2025-08-12,cancelled,617 Anthony Ports,Lake Judy,ND,35704,4319.89
83,16,2025-03-15,pending,0321 Michael Forks,Michaelmouth,CT,36009,992.42
84,16,2025-02-02,pending,91430 Washington Ramp,Littleview,NH,79860,2979.79
85,16,2025-01-01,cancelled,422 Walter Freeway Suite 581,Lake Sara,AL,40151,3065.51
86,16,2025-09-08,pending,0676 Suzanne Freeway Apt. 998,Gomezstad,VI,81439,857.49
87,16,2024-12-05,pending,7846 Brown Pike,Danastad,WA,69614,1397.32
88,16,2025-06-06,processing,825 Page Neck,South Kristina,AK,97449,2602.51
89,17,2025-05-29,delivered,7292 Torres Forge Suite 519,Jacksonburgh,HI,24561,4022.13
90,17,2025-10-16,delivered,18256 Katherine Hills Suite 286,New Kathleen,FM,24130,203.86
91,18,2025-07-21,processing,22341 Hudson Extensions,Port Alexanderchester,MO,22814,5163.31
92,18,2025-10-01,delivered,26604 Clayton Center Suite 632,South Maryton,AK,94502,617.77
93,18,2025-02-10,pending,19335 Amber Fall,East Kenneth,NH,12775,3674.62
94,18,2024-12-16,processing,0060 Steven Shoals,West Ricardofurt,DE,90296,7571.62
95,18,2025-08-30,delivered,76264 Jeanne Station Suite 009,Jeremyburgh,ID,36070,3066.1
96,18,2025-04-26,pending,6231 Tonya Flat,Wilsonview,LA,93896,232.32
97,18,2024-12-19,delivered,2316 Hill Viaduct Suite 137,South Terry,MH,51404,1908.25
98,19,2025-06-04,delivered,6063 Munoz Falls Apt. 461,Murphymouth,CT,67557,5128.05
99,19,2025-06-14,shipped,17999 Gerald Square Apt. 024,South Kyle,WI,35539,611.58
100,19,2024-12-13,delivered,34565 Walter Loaf Suite 790,West Morgan,WI,70764,436.38
101,19,2025-04-05,cancelled,2689 Juan Mountain,East Zachary,VA,93050,1159.41
102,20,2025-02-24,delivered,009 Perez Well,Conniemouth,NJ,97745,2409.04
103,20,2025-02-25,processing,64359 Mary Bypass,South Amanda,KS,88576,3788.44
104,20,2025-04-27,processing,7614 Stanley Pike,Joshuamouth,AR,52429,1877.12
105,20,2025-08-22,shipped,87564 Sweeney Curve Suite 368,West Donnaland,NC,49360,3567.96
106,20,2025-09-26,processing,27729 Alex Path,Matthewmouth,SD,74176,259.67
107,20,2025-04-11,pending,3566 Matthew Camp,Lake John,KY,56181,5153.77
108,20,2025-06-30,cancelled,06773 Lisa Mountains,New Sarahburgh,WA,24540,120.44
109,20,2025-04-25,cancelled,9419 Kellie Mission Suite 538,Ericaton,MS,62200,2400.33
110,20,2025-08-31,pending,634 Heather Square,Archertown,WA,41777,2563.57
111,20,2025-09-19,shipped,49221 Brown Rue Suite 186,Johnsonfurt,IL,24987,2408.77
112,23,2025-10-04,delivered,62907 Sherry Prairie,Port Mary,MP,81203,3180.87
113,23,2024-12-14,cancelled,1826 Church Trafficway,Port Linda,NH,12354,3683.02
114,23,2025-05-09,cancelled,649 Jackson Radial,Ericborough,VT,91655,4962.17
115,23,2025-06-30,processing,35490 Justin Trail,Colefurt,PA,24045,1616.6
116,23,2024-12-07,pending,730 Green Rest Apt. 438,Donnabury,AS,07618,2085.57
117,23,2025-08-10,cancelled,178 Robert Parkway,South Cynthiaview,TN,29571,2926.88
118,23,2025-08-03,pending,8901 Santos Glen,Port Destiny,CO,43567,1483.56
119,23,2024-11-13,processing,0170 Robert Hills,South Nicholeborough,AK,67764,3694.2
120,23,2025-07-15,pending,172 Hernandez Expressway,Pierceport,MP,39710,5112.61
121,24,2025-10-06,pending,07288 Bean Ferry Suite 411,Fernandezchester,OR,90340,2815.73
122,24,2024-12-26,processing,27662 Angela Pines Apt. 039,South Brianburgh,MT,26010,127.46
123,24,2025-08-01,delivered,4359 Mccoy Ferry Suite 587,North Gregoryport,AS,87260,1018.11
124,24,2025-11-09,pending,2536 Brenda Drives,South Michael,AL,24439,1982.42
125,24,2025-06-15,cancelled,760 Chelsea Run Suite 024,South Lucas,PR,90902,861.24
126,24,2025-03-12,processing,5364 Holly Via,Clarkeview,TX,02633,5835.41
127,24,2025-02-15,cancelled,488 David Well Suite 738,Joshuafurt,MT,20459,2644.52
128,24,2025-01-28,cancelled,60667 Campbell Cliffs,West Bonnie,OK,64018,2097.82
129,24,2025-11-01,pending,04298 Lopez Loop,North Patrick,MO,10026,3080.56
130,25,2025-05-08,pending,35699 Brianna Street Apt. 358,Grimesfurt,OH,67972,2797.56
131,25,2025-05-12,delivered,9256 Kevin Gateway Suite 820,Paulabury,CT,43410,2395.15
132,25,2025-01-29,cancelled,122 Smith Avenue,West Kennethmouth,MO,19741,3459.96
133,25,2025-10-05,cancelled,3049 Jeff Crest,East Zacharyshire,NM,42627,2193.44
134,25,2025-01-11,cancelled,09986 Wall Lights Suite 224,West Christineberg,AR,68473,511.89
135,25,2025-01-22,shipped,3097 Patterson Union,New Sherryside,MH,81823,4490.8
136,25,2025-04-17,shipped,805 Ferguson Avenue,South Donnabury,SC,00865,2417.7
137,25,2025-05-06,processing,1869 Spence Drives Suite 043,Travisville,VT,21913,5495.47
138,25,2025-03-16,shipped,37956 Alexander Parks,Simpsonburgh,CA,65555,2442.96
139,26,2025-03-28,shipped,61920 Heather Village,New Jamesfort,ID,28021,2227.16
140,26,2025-05-10,delivered,42444 Mitchell Rest,Port Josephchester,AK,58687,1867.8
141,26,2025-08-31,processing,35107 Morris Tunnel Apt. 708,Christopherbury,TN,22319,24.6
142,27,2025-10-14,shipped,45634 Cassidy Cliffs Suite 805,Amyland,VA,97049,3196.68
143,27,2025-09-22,delivered,7449 Caldwell Gateway,South Brandonfort,GU,62471,1469.08
144,27,2024-11-14,shipped,0930 Flores Inlet,New Joshuatown,WV,33091,1295.34
145,27,2025-07-05,pending,18039 Long Estates,East Willieside,OH,52843,2464.36
146,27,2025-08-05,pending,078 Edward Islands Apt. 951,Campbellchester,VT,79185,6032.4
147,27,2025-02-01,delivered,356 James Field,Evanstown,NY,66984,2873.37
148,27,2025-10-28,cancelled,7089 Riddle Canyon,North Tiffany,VT,15899,2257.88
149,27,2025-07-03,cancelled,431 James Walks,Port Peter,CT,13116,3502.63
150,27,2025-03-23,pending,580 Martin Locks Apt. 211,Johnsonmouth,AS,90120,870.23
151,27,2025-08-01,pending,05397 Thomas Groves,Jenniferport,NJ,95712,968.93
152,28,2025-08-11,processing,231 Christensen Highway,Reeseshire,MA,96078,120.16
153,28,2025-02-15,cancelled,7662 White Islands Suite 053,East Kaitlynland,WA,70574,2630.62
154,28,2025-03-09,shipped,57870 Rebecca Path,Williamston,MO,31500,2127.62
155,28,2024-11-29,processing,3605 David Pines Apt. 640,North Micheleshire,AZ,78143,1473.2
156,28,2024-12-28,shipped,30252 Charlene Junction,Lake James,NH,99719,4024.03
157,28,2025-04-06,pending,953 Autumn Views Apt. 600,Williamsmouth,MI,65119,2157.07
158,28,2025-11-10,processing,544 Bradley Heights Suite 453,North Angelaside,DE,94658,4050.96
159,28,2025-06-13,shipped,5834 Gill Locks Suite 229,Edwardfort,RI,65387,5952.04
160,29,2024-12-03,processing,660 Tara Lodge Apt. 624,Johnsontown,LA,59340,3192.67
161,29,2025-10-14,delivered,6023 Marsh Circles,Williamtown,CA,49582,1159.38
162,29,2025-01-29,cancelled,73167 Leslie Center,Alishashire,AR,49445,1946.28
163,29,2025-01-02,shipped,4133 Parker Port,Brianfurt,KS,96435,1038.68
164,30,2025-08-29,cancelled,15790 Sharp Crossing Apt. 898,Grahamport,PR,94676,3513.54
165,30,2025-04-19,pending,5618 James Islands,Bakerside,NH,52403,4032.88
166,30,2025-06-13,cancelled,7023 Abbott Unions,New Josephtown,AS,84700,3441.82
167,30,2024-12-21,shipped,09567 Jay Vista,Lake Jasmine,UT,63292,4026.69
168,30,2025-02-03,pending,96440 Misty Dale,Johnburgh,GU,52246,2676.47
169,30,2025-11-11,processing,9924 Scott Freeway Apt. 385,North Derrick,TX,24403,2448.37
170,30,2024-11-21,shipped,0169 Jeremy Union,New Joshua,DC,28343,4449.53
171,30,2025-03-08,pending,199 Pamela Branch Suite 551,Meganmouth,DC,51488,1994.76
172,30,2024-12-05,pending,6999 James Forges Apt. 006,Traciborough,TX,20781,3390.6
173,31,2025-01-23,processing,227 Mcdonald Forge Apt. 168,South Richardport,VA,63172,8957.04
174,31,2024-11-23,shipped,38503 Salinas Isle Suite 298,Derekport,CO,95911,4360.12
175,31,2025-09-29,shipped,740 Rachael Groves,Lake Deborahchester,NJ,99933,1822.32
176,31,2025-04-04,cancelled,7625 Meagan Meadows,North Megan,IA,93114,2508.09
177,31,2025-04-19,processing,564 Daniel Haven,Adamsfort,SD,77335,6781.53
178,31,2025-02-02,shipped,399 Goodman Villages,Meganland,KS,78979,5747.46
179,31,2025-11-02,processing,99550 Harper Union Apt. 266,Jayberg,WA,29655,240.88
180,31,2025-06-30,shipped,1212 Donna Cove Suite 948,Jeremytown,AL,92225,1356.21
181,32,2024-12-11,delivered,762 Renee Viaduct,Sheilaport,HI,83990,1040.01
182,32,2025-01-14,shipped,7871 Regina Crossroad Apt. 788,Brownside,PR,38528,3304.7
183,32,2024-12-09,pending,061 Heidi Glens Suite 647,Petermouth,NY,56649,3628.49
184,32,2025-08-06,pending,496 Nicole Plains Apt. 097,East Randall,DE,07145,3571.81
185,32,2025-10-04,delivered,261 Morales Avenue,South Marcusmouth,VA,59433,4176.85
186,32,2025-08-05,shipped,5786 Murphy Trace Suite 751,West Thomas,KY,01250,2246.61
187,32,2024-11-15,pending,8758 Stokes Walks,West Felicia,MI,09845,97.22
188,32,2025-04-23,pending,4512 Patricia Wall Suite 418,Fitzpatricktown,FL,26940,5758.3
189,33,2025-01-30,processing,608 Mary View Suite 017,East Rickyton,FM,82055,2329.3
190,33,2025-03-08,shipped,38602 Laura Isle Apt. 898,North Tonya,WI,36936,2510.76
191,33,2025-08-29,processing,49096 Madison Mountains,Parrishshire,FM,64330,4550.14
192,33,2025-01-04,delivered,2841 Michael Ridge Suite 804,Robinmouth,IL,46892,2591.35
193,33,2025-09-01,cancelled,748 Ashley Parks Apt. 940,Breannaside,AZ,18897,2017.33
194,34,2025-07-26,cancelled,29442 Laurie Course Suite 892,Abigailtown,NH,25563,2595.59
195,34,2025-10-06,pending,03197 Ruiz Place Suite 759,Stephanieville,TN,40971,4638.69
196,34,2024-12-08,pending,482 Adam Pike Apt. 958,Hortonview,CT,75284,3404.92
197,34,2025-04-25,pending,32605 Moran Throughway,Gabrielchester,MP,63489,2043.52
198,34,2025-03-06,processing,73066 Megan Forest,West Christopherhaven,MH,12340,939.96
199,34,2025-05-14,cancelled,2655 Perry Plaza,South Sarahbury,DC,60816,1985.5
200,36,2025-08-21,cancelled,71798 Tina Extension,South Erin,OK,07921,3411.7
201,36,2024-11-26,cancelled,4870 Patrick Mission Suite 417,Crawfordmouth,ID,78272,815.56
202,36,2025-06-04,processing,890 Curry Mountain,West Brandymouth,NM,79475,3484.67
203,36,2024-12-05,delivered,8962 Serrano Fords Suite 887,Harristown,VI,20889,139.06
204,36,2024-11-19,processing,1239 Maldonado Falls Apt. 905,New Natalieside,CT,20776,2022.35
205,38,2025-11-08,shipped,182 Deborah Overpass Apt. 669,Port Davidmouth,OR,17796,963.42
206,38,2025-02-06,pending,98268 Jeffrey Squares Suite 497,East Jenniferton,MT,64835,2532.57
207,38,2025-03-20,shipped,968 Wendy Field Suite 570,Ramosville,WI,22889,1661.58
208,38,2025-10-05,processing,55505 Lowe Bypass,Davidland,NC,63211,2135.18
209,39,2025-07-10,processing,444 Larry Pass,North Teresa,ME,08875,1616.6
210,39,2025-03-12,pending,12350 Richard Mills Apt. 568,Lake Benjaminmouth,FM,59527,2759.8
211,39,2025-07-10,shipped,023 Brock Road Suite 568,Josefort,OK,38963,1419.33
212,39,2024-11-22,cancelled,6401 Robinson Dale,Timothyfort,NY,87258,782.46
213,39,2025-02-01,delivered,9757 Carolyn Squares,Lake Scott,CT,67222,3186.05
214,39,2025-04-14,cancelled,029 Mark Land,Dawnbury,IN,23445,3321.77
215,39,2025-03-09,processing,5185 Medina Prairie,Roblestown,NH,27672,3475.55
216,39,2025-03-09,processing,7462 Michael Roads Suite 841,Adamsville,NE,08842,4986.81
217,39,2025-05-03,processing,0221 Richard Plaza,Lake Maryport,MH,13461,1334.69
218,39,2025-02-09,processing,7609 Roth Ford Suite 740,New Lisa,VI,16934,2795.67
219,40,2025-06-09,pending,3302 Nixon Roads Suite 099,Mannburgh,DE,73616,2565.6
220,40,2025-10-24,processing,6771 Fritz Loop,Cisnerostown,DC,41585,596.85
221,40,2025-08-29,shipped,42022 Erin Forges Suite 998,North Rachelborough,VA,57873,695.3
222,40,2025-04-26,delivered,7590 Thomas Mission,West Edwardport,KY,53402,4962.79
223,40,2024-12-29,processing,0923 Kimberly Keys Apt. 746,Ryanport,DC,49901,1173.11
224,40,2025-09-24,shipped,86372 Robinson Port,Jillfurt,MH,80761,3651.26
225,41,2025-07-17,pending,9227 Bennett Greens Apt. 490,East Saraside,MD,00826,2294.05
226,41,2025-01-21,delivered,1344 Golden Locks Suite 228,New Aaron,NJ,99464,3431.53
227,43,2025-02-14,processing,45461 Parks Highway,East Michael,DE,34673,1882.57
228,43,2025-08-10,processing,879 Lewis Dale Apt. 409,Justinmouth,NM,85780,1894.02
229,43,2025-05-01,delivered,83085 Brian Stream Suite 314,New Christopher,CO,09010,2196.8
230,43,2025-02-18,shipped,7862 Sierra Bridge,Lindseyland,OH,60283,2917.62
231,43,2024-12-20,shipped,685 Turner Isle,Combschester,SD,72317,2557.54
232,43,2025-07-24,processing,69331 Mcmahon Fall,North Richard,AR,24708,3762.79
233,43,2025-01-27,processing,86550 Sexton Dam,West Joyce,CT,38416,892.33
234,45,2025-09-15,processing,66701 Jones Island,North Cody,VI,53165,1573.55
235,45,2025-04-26,delivered,82222 Johnson Island,Port Tiffany,DC,24643,4643.86
236,45,2025-07-29,shipped,56201 Melissa Crescent,West Amanda,IL,29812,336.05
237,45,2025-06-24,shipped,32528 Moses Crescent,East John,PA,33814,2630.13
238,45,2025-03-23,pending,452 Kevin Parkway Suite 449,Pattersontown,HI,35065,4127.5
239,45,2025-06-27,shipped,3420 Wright Terrace Suite 734,Gregoryfort,MP,30916,4130.76
240,45,2025-03-31,shipped,52665 Hart Circles Suite 762,Kristinhaven,AR,81711,1909.25
241,45,2025-11-03,cancelled,4147 Robinson Lodge Suite 247,Sandrafurt,NE,94830,3652.75
242,45,2025-03-16,delivered,3896 Kathleen Trafficway,Julieberg,LA,27049,3626.75
243,45,2025-10-19,cancelled,9241 Wells Estate Suite 638,West Joseph,TN,38068,3455.44
244,46,2025-04-21,pending,639 Robert Courts Suite 824,Lawrencebury,RI,80247,4997.85
245,46,2025-09-01,pending,1538 Craig Tunnel,Lake Steven,AK,32593,1373.36
246,46,2024-11-21,shipped,72607 Kimberly Trail Apt. 148,Olsenside,MH,93769,964.71
247,46,2024-11-20,processing,4931 Tiffany Heights,Bowersshire,WI,39540,5100.51
248,46,2025-09-13,cancelled,2542 Paul Squares Suite 563,New Daniel,DC,98549,3516.25
249,47,2025-11-09,pending,36948 Victoria Creek Apt. 664,Davischester,NV,88612,878.84
250,47,2024-11-22,pending,833 Walker Creek Apt. 161,West Kristen,OK,04110,1876.71
251,47,2024-12-27,cancelled,399 Simon Bypass Apt. 333,Teresaborough,NJ,87779,1848.15
252,47,2025-04-24,delivered,348 Juan Views Suite 101,Snyderborough,AZ,10188,1721.95
253,48,2025-02-18,shipped,60499 Kelsey Causeway,Dianaburgh,MH,05567,2902.48
254,48,2025-01-10,delivered,1680 Nancy Rapids Apt. 342,Port Kaylaview,NY,97850,1731.55
255,48,2025-11-10,cancelled,8420 Luis Club Suite 079,South Maryshire,CT,27424,1810.62
256,48,2025-11-05,cancelled,15711 Wilson Wells Apt. 194,East Kevinmouth,TN,01065,3218.96
257,48,2025-01-14,pending,1128 Rosales Hills,Derrickfort,UT,10342,2695.71
258,49,2025-09-09,cancelled,7857 Phillips Meadow,New Charles,OH,10946,7113.53
259,49,2024-11-27,processing,9161 Jackson Row Apt. 154,North Jenniferland,PW,44477,4744.42
260,49,2025-02-05,shipped,69626 Richard Glen Suite 525,Port Diana,WA,41380,4318.27
261,49,2025-10-25,pending,25471 Silva Ranch,Abigailstad,NE,51675,5835.59
262,49,2025-07-05,delivered,993 Anthony Coves Suite 675,Clarkstad,WI,66674,972.21
263,49,2025-03-08,pending,71726 Anderson Shoal,Richardtown,KS,50672,4682.86
264,50,2025-10-18,cancelled,0014 Rodriguez Forges,Port Nicholaschester,VI,24098,179.4
265,50,2025-02-22,processing,871 Adam Route,Ortizton,TX,36145,2532.69
266,50,2025-09-21,shipped,2820 Russell Fields,North Michaelburgh,DC,30564,5039.84
267,50,2025-01-07,delivered,28240 Ruiz Way,New James,PA,77971,2687.5
268,50,2025-07-02,pending,04108 Chavez Unions Apt. 351,East Michaeltown,GU,41712,1897.65
269,50,2025-01-27,shipped,2289 Sandra Avenue Suite 415,Hawkinston,PA,61365,3630.23
270,50,2025-06-04,cancelled,28010 Garcia Heights,Johnland,RI,44137,1000.13
271,50,2025-10-17,shipped,144 Peters Union,Robertsberg,OH,05273,3736.71
272,51,2025-01-20,pending,889 Andrew Forges,Tylerside,SD,93610,1790.24
273,51,2024-11-22,shipped,8912 Jeffrey Shore,Kingbury,GU,94937,146.16
274,51,2025-04-18,cancelled,5855 Mueller Ramp,Heiditown,ND,36972,1288.6
275,51,2025-01-24,shipped,9690 Howard Drives,Smithland,VA,06854,2332.5
276,51,2025-04-12,delivered,7337 Watson Cape Apt. 652,Perrybury,MT,87517,5019.11
277,51,2025-06-18,shipped,9802 Robinson Brooks,Jamesfurt,RI,80950,1986.79
278,51,2025-01-14,delivered,4477 Marcus Wells Apt. 842,Lake Donald,KS,23321,1684.02
279,51,2025-02-03,shipped,004 Shawn Crossroad Suite 155,Port Raymond,CT,43443,1857.56
280,51,2025-06-08,cancelled,7490 Thompson Parks Suite 024,West Shannon,IA,28405,1419.91
281,51,2025-02-07,processing,594 White Forges,West Danielleberg,NC,51209,1597.04
282,52,2025-02-08,delivered,0296 White Spurs,South Ericfort,LA,21075,2700.04
283,52,2025-07-04,delivered,04167 Rebecca Knolls,New Gregory,MO,50629,2326.98
284,52,2025-07-05,processing,0632 Walton Forge,Port Jerryburgh,NY,06419,3579.4
285,53,2025-03-10,cancelled,22061 Daniel Garden Apt. 359,South Cassandra,CO,79629,2782.55
286,53,2024-12-06,shipped,02956 Nicholas Ferry,Nicholasview,UT,65018,132.24
287,53,2024-12-07,delivered,9407 Jeremy Heights Suite 323,South Debramouth,NH,70555,3855.53
288,53,2025-09-07,cancelled,5647 Massey Mills,Port Jodyport,WV,46735,873.17
289,53,2025-01-28,pending,77666 Brown Fall,Wongchester,CA,16887,2507.23
290,53,2024-11-23,shipped,157 Richard Cliffs,East Davidland,TX,15427,2244.86
291,53,2025-04-13,shipped,870 Soto Neck Suite 353,East James,NM,16636,4310.49
292,53,2025-06-10,processing,212 Cardenas Path Suite 856,South Christopher,LA,20453,4100.01
293,53,2025-07-06,delivered,00037 Mejia Gardens Apt. 313,West Samuel,PA,86838,5610.51
294,54,2025-07-14,cancelled,9327 Garcia Shoals Apt. 765,West Paulahaven,DC,05906,958.06
295,54,2024-12-19,shipped,0652 Long Ferry,Wallacebury,VI,48840,1876.34
296,54,2024-12-07,delivered,2455 Suzanne Gateway,Clementsstad,TX,51914,318.65
297,54,2025-03-14,delivered,764 Dixon Radial Suite 224,Jeanville,AK,40717,240.88
298,54,2025-04-19,delivered,0692 Murphy Place,Micheleberg,GU,88603,2232.15
299,54,2024-12-04,processing,76729 Jodi Squares Apt. 979,West Gail,KY,18652,3041.69
300,54,2024-12-11,cancelled,146 Santana Ferry,Port James,MH,65175,1213.41
301,54,2025-05-11,delivered,5797 Nathaniel Way,Helenton,NH,03676,3632.23
302,54,2025-01-31,processing,982 Kelly Point,Port John,NV,85056,5626.22
303,55,2025-08-23,pending,094 Brown Locks,Rossmouth,AL,52330,1629.97
304,55,2025-01-28,shipped,328 Gonzalez Creek Apt. 220,Lake Ericaport,NY,35683,2343.51
305,55,2025-01-01,cancelled,8333 Sweeney Spring Suite 082,Jimenezland,UT,27612,2077.26
